x,y,z
2.300297498703002930e+00,4.999970436096191406e+00,0.000000000000000000e+00
2.400297641754150391e+00,5.099970340728759766e+00,0.000000000000000000e+00
2.500297546386718750e+00,5.199970245361328125e+00,0.000000000000000000e+00
2.600297451019287109e+00,5.299970626831054688e+00,0.000000000000000000e+00
2.600297451019287109e+00,5.399970531463623047e+00,0.000000000000000000e+00
2.700297594070434570e+00,5.499970436096191406e+00,0.000000000000000000e+00
2.800297498703002930e+00,5.599970340728759766e+00,0.000000000000000000e+00
2.900297641754150391e+00,5.699970245361328125e+00,0.000000000000000000e+00
3.000297546386718750e+00,5.799970626831054688e+00,0.000000000000000000e+00
3.100297451019287109e+00,5.899970531463623047e+00,0.000000000000000000e+00
3.200297594070434570e+00,5.999970436096191406e+00,0.000000000000000000e+00
3.300297498703002930e+00,6.099970340728759766e+00,0.000000000000000000e+00
3.400297641754150391e+00,6.199970245361328125e+00,0.000000000000000000e+00
3.500297546386718750e+00,6.299970626831054688e+00,0.000000000000000000e+00
3.600297451019287109e+00,6.399970531463623047e+00,0.000000000000000000e+00
3.700297594070434570e+00,6.499970436096191406e+00,0.000000000000000000e+00
3.800297498703002930e+00,6.599970340728759766e+00,0.000000000000000000e+00
3.900297641754150391e+00,6.699970245361328125e+00,0.000000000000000000e+00
4.000297546386718750e+00,6.799970626831054688e+00,0.000000000000000000e+00
4.100297451019287109e+00,6.899970531463623047e+00,0.000000000000000000e+00
4.200297355651855469e+00,6.999970436096191406e+00,0.000000000000000000e+00
4.200297355651855469e+00,7.099970340728759766e+00,0.000000000000000000e+00
4.200297355651855469e+00,7.199970245361328125e+00,0.000000000000000000e+00
4.200297355651855469e+00,7.299970626831054688e+00,0.000000000000000000e+00
4.200297355651855469e+00,7.399970531463623047e+00,0.000000000000000000e+00
4.300297737121582031e+00,7.499970436096191406e+00,0.000000000000000000e+00
4.400297641754150391e+00,7.599970340728759766e+00,0.000000000000000000e+00
4.500297546386718750e+00,7.699970245361328125e+00,0.000000000000000000e+00
4.600297451019287109e+00,7.799970626831054688e+00,0.000000000000000000e+00
4.700297355651855469e+00,7.899970531463623047e+00,0.000000000000000000e+00
4.800297737121582031e+00,7.999970436096191406e+00,0.000000000000000000e+00
4.900297641754150391e+00,8.099970817565917969e+00,0.000000000000000000e+00
5.000297546386718750e+00,8.199970245361328125e+00,0.000000000000000000e+00
5.100297451019287109e+00,8.299970626831054688e+00,0.000000000000000000e+00
5.200297355651855469e+00,8.399970054626464844e+00,0.000000000000000000e+00
5.300297737121582031e+00,8.499970436096191406e+00,0.000000000000000000e+00
5.300297737121582031e+00,8.599970817565917969e+00,0.000000000000000000e+00
5.300297737121582031e+00,8.699970245361328125e+00,0.000000000000000000e+00
5.300297737121582031e+00,8.799970626831054688e+00,0.000000000000000000e+00
5.300297737121582031e+00,8.899970054626464844e+00,0.000000000000000000e+00
5.300297737121582031e+00,8.999970436096191406e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.099970817565917969e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.199970245361328125e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.299970626831054688e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.399970054626464844e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.499970436096191406e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.599970817565917969e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.699970245361328125e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.799970626831054688e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.899970054626464844e+00,0.000000000000000000e+00
5.300297737121582031e+00,9.999970436096191406e+00,0.000000000000000000e+00
5.300297737121582031e+00,1.009997081756591797e+01,0.000000000000000000e+00
5.300297737121582031e+00,1.019997024536132812e+01,0.000000000000000000e+00
5.300297737121582031e+00,1.029997062683105469e+01,0.000000000000000000e+00
5.300297737121582031e+00,1.039997005462646484e+01,0.000000000000000000e+00
5.300297737121582031e+00,1.049997043609619141e+01,0.000000000000000000e+00
5.300297737121582031e+00,1.059997081756591797e+01,0.000000000000000000e+00
5.400297641754150391e+00,1.069997024536132812e+01,0.000000000000000000e+00
5.500297546386718750e+00,1.079997062683105469e+01,0.000000000000000000e+00
5.600297451019287109e+00,1.089997005462646484e+01,0.000000000000000000e+00
5.700297355651855469e+00,1.099997043609619141e+01,0.000000000000000000e+00
5.800297737121582031e+00,1.109997081756591797e+01,0.000000000000000000e+00
5.900297641754150391e+00,1.119997024536132812e+01,0.000000000000000000e+00
6.000297546386718750e+00,1.129997062683105469e+01,0.000000000000000000e+00
6.000297546386718750e+00,1.139997005462646484e+01,0.000000000000000000e+00
6.000297546386718750e+00,1.149997043609619141e+01,0.000000000000000000e+00
6.100297451019287109e+00,1.159997081756591797e+01,0.000000000000000000e+00
6.200297355651855469e+00,1.169997024536132812e+01,0.000000000000000000e+00
6.300297737121582031e+00,1.179997062683105469e+01,0.000000000000000000e+00
6.400297641754150391e+00,1.189997005462646484e+01,-5.273818969726562500e-04
