x,y,z
1.163439559936523438e+01,2.466282844543457031e+00,2.250000000000000000e+00
1.153439617156982422e+01,2.366282939910888672e+00,2.250000000000000000e+00
1.143439579010009766e+01,2.266283035278320312e+00,2.250000000000000000e+00
1.133439636230468750e+01,2.166282892227172852e+00,2.250000000000000000e+00
1.123439598083496094e+01,2.066282987594604492e+00,2.250000000000000000e+00
1.113439559936523438e+01,1.966282963752746582e+00,2.250000000000000000e+00
1.113439559936523438e+01,1.866282939910888672e+00,2.250000000000000000e+00
1.103439617156982422e+01,1.766282916069030762e+00,2.250000000000000000e+00
1.093439579010009766e+01,1.666282892227172852e+00,2.250000000000000000e+00
1.083439636230468750e+01,1.666282892227172852e+00,2.250000000000000000e+00
1.073439598083496094e+01,1.566282987594604492e+00,2.250000000000000000e+00
1.063439559936523438e+01,1.566282987594604492e+00,2.250000000000000000e+00
1.053439617156982422e+01,1.566282987594604492e+00,2.250000000000000000e+00
1.043439579010009766e+01,1.566282987594604492e+00,2.250000000000000000e+00
1.033439636230468750e+01,1.666282892227172852e+00,2.250000000000000000e+00
1.023439598083496094e+01,1.666282892227172852e+00,2.382812500000000000e+00
1.013439559936523438e+01,1.766282916069030762e+00,2.400390625000000000e+00
1.003439617156982422e+01,1.866282939910888672e+00,2.550781250000000000e+00
9.934395790100097656e+00,1.966282963752746582e+00,2.550781250000000000e+00
9.834396362304687500e+00,2.066282987594604492e+00,2.550781250000000000e+00
9.734395980834960938e+00,2.166282892227172852e+00,2.699218750000000000e+00
9.634395599365234375e+00,2.266283035278320312e+00,2.699218750000000000e+00
9.534396171569824219e+00,2.366282939910888672e+00,2.849609375000000000e+00
9.434395790100097656e+00,2.466282844543457031e+00,2.849609375000000000e+00
9.334396362304687500e+00,2.566282987594604492e+00,2.998046875000000000e+00
9.234395980834960938e+00,2.666282892227172852e+00,3.000000000000000000e+00
9.134395599365234375e+00,2.766283035278320312e+00,3.126953125000000000e+00
9.034396171569824219e+00,2.866282939910888672e+00,3.150390625000000000e+00
8.934395790100097656e+00,2.966282844543457031e+00,3.273437500000000000e+00
8.834396362304687500e+00,3.066282987594604492e+00,3.300781250000000000e+00
8.734395980834960938e+00,3.066282987594604492e+00,3.300781250000000000e+00
8.634395599365234375e+00,3.166282892227172852e+00,3.449218750000000000e+00
8.534396171569824219e+00,3.266283035278320312e+00,3.449218750000000000e+00
8.434395790100097656e+00,3.366282939910888672e+00,3.599609375000000000e+00
8.334396362304687500e+00,3.466282844543457031e+00,3.599609375000000000e+00
8.234395980834960938e+00,3.566282987594604492e+00,3.720703125000000000e+00
8.134395599365234375e+00,3.566282987594604492e+00,3.750000000000000000e+00
8.034396171569824219e+00,3.566282987594604492e+00,3.750000000000000000e+00
7.934396266937255859e+00,3.666282892227172852e+00,3.892578125000000000e+00
7.834395885467529297e+00,3.766283035278320312e+00,3.900390625000000000e+00
7.734395980834960938e+00,3.766283035278320312e+00,3.900390625000000000e+00
7.634396076202392578e+00,3.866282939910888672e+00,4.050781250000000000e+00
7.534396171569824219e+00,3.966282844543457031e+00,4.050781250000000000e+00
7.434396266937255859e+00,4.066282749176025391e+00,4.199218750000000000e+00
7.334395885467529297e+00,4.166283130645751953e+00,4.199218750000000000e+00
7.234395980834960938e+00,4.266283035278320312e+00,4.351562500000000000e+00
7.134396076202392578e+00,4.366282939910888672e+00,4.351562500000000000e+00
7.034396171569824219e+00,4.466282844543457031e+00,4.488281250000000000e+00
6.934396266937255859e+00,4.566282749176025391e+00,4.500000000000000000e+00
6.834395885467529297e+00,4.666283130645751953e+00,4.500000000000000000e+00
6.734395980834960938e+00,4.766283035278320312e+00,4.500000000000000000e+00
6.634396076202392578e+00,4.866282939910888672e+00,4.500000000000000000e+00
6.534396171569824219e+00,4.866282939910888672e+00,4.500000000000000000e+00
6.434396266937255859e+00,4.766283035278320312e+00,4.500000000000000000e+00
6.334395885467529297e+00,4.666283130645751953e+00,4.500000000000000000e+00
6.234395980834960938e+00,4.566282749176025391e+00,4.500000000000000000e+00
6.134396076202392578e+00,4.466282844543457031e+00,4.500000000000000000e+00
6.034396171569824219e+00,4.366282939910888672e+00,4.500000000000000000e+00
5.934396266937255859e+00,4.266283035278320312e+00,4.500000000000000000e+00
5.834395885467529297e+00,4.166283130645751953e+00,4.500000000000000000e+00
5.734395980834960938e+00,4.066282749176025391e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.966282844543457031e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.866282939910888672e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.766283035278320312e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.666282892227172852e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.566282987594604492e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.466282844543457031e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.366282939910888672e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.266283035278320312e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.166282892227172852e+00,4.500000000000000000e+00
5.734395980834960938e+00,3.066282987594604492e+00,4.500000000000000000e+00
5.734395980834960938e+00,2.966282844543457031e+00,4.500000000000000000e+00
5.734395980834960938e+00,2.866282939910888672e+00,4.500000000000000000e+00
5.834395885467529297e+00,2.766283035278320312e+00,4.500000000000000000e+00
5.934396266937255859e+00,2.666282892227172852e+00,4.500000000000000000e+00
6.034396171569824219e+00,2.566282987594604492e+00,4.500000000000000000e+00
6.134396076202392578e+00,2.466282844543457031e+00,4.500000000000000000e+00
6.234395980834960938e+00,2.366282939910888672e+00,4.500000000000000000e+00
6.334395885467529297e+00,2.266283035278320312e+00,4.500000000000000000e+00
6.434396266937255859e+00,2.166282892227172852e+00,4.500000000000000000e+00
6.534396171569824219e+00,2.166282892227172852e+00,4.500000000000000000e+00
6.634396076202392578e+00,2.066282987594604492e+00,4.500000000000000000e+00
